filename,true_label,predicted_label,female_confidence,male_confidence
107990.jpg,Female,Male,0.0016,0.9984
092307.jpg,Male,Female,0.9325,0.0675
096022.jpg,Male,Female,0.5328,0.4672
051312.jpg,Male,Female,0.6170,0.3830
125562.jpg,Male,Female,0.5089,0.4911
073971.jpg,Male,Female,0.8353,0.1647
182160.jpg,Male,Female,0.7060,0.2940
192258.jpg,Male,Female,0.6565,0.3435
116096.jpg,Male,Female,0.9201,0.0799
130871.jpg,Male,Female,0.8537,0.1463
103012.jpg,Male,Female,0.6050,0.3950
147699.jpg,Male,Female,0.9885,0.0115
175001.jpg,Male,Female,0.9987,0.0013
061720.jpg,Female,Male,0.3824,0.6176
083820.jpg,Male,Female,0.7419,0.2581
068188.jpg,Male,Female,0.5214,0.4786
145730.jpg,Male,Female,0.5813,0.4187
102373.jpg,Female,Male,0.0017,0.9983
200371.jpg,Female,Male,0.4619,0.5381
165558.jpg,Male,Female,0.8115,0.1885
199216.jpg,Male,Female,0.7997,0.2003
035843.jpg,Male,Female,0.9250,0.0750
090256.jpg,Male,Female,0.8840,0.1160
039391.jpg,Male,Female,0.7131,0.2869
047796.jpg,Male,Female,0.5734,0.4266
103816.jpg,Male,Female,0.5442,0.4558
042491.jpg,Male,Female,0.6972,0.3028
004700.jpg,Male,Female,0.9843,0.0157
123191.jpg,Male,Female,0.7709,0.2291
053006.jpg,Female,Male,0.4933,0.5067
198165.jpg,Male,Female,0.5548,0.4452
028755.jpg,Male,Female,0.8202,0.1798
039535.jpg,Male,Female,0.5356,0.4644
114450.jpg,Male,Female,0.8070,0.1930
171913.jpg,Female,Male,0.2206,0.7794
051749.jpg,Male,Female,0.5142,0.4858
175753.jpg,Male,Female,0.8152,0.1848
185082.jpg,Female,Male,0.2247,0.7753
148139.jpg,Male,Female,0.9979,0.0021
015682.jpg,Male,Female,0.5317,0.4683
156294.jpg,Female,Male,0.2964,0.7036
171090.jpg,Female,Male,0.4147,0.5853
007950.jpg,Female,Male,0.0266,0.9734
140699.jpg,Male,Female,0.9441,0.0559
020637.jpg,Male,Female,0.6301,0.3699
193010.jpg,Female,Male,0.2062,0.7938
005363.jpg,Male,Female,0.5771,0.4229
075919.jpg,Male,Female,0.5100,0.4900
186880.jpg,Male,Female,0.9475,0.0525
082502.jpg,Male,Female,0.5144,0.4856
071951.jpg,Male,Female,0.6819,0.3181
161263.jpg,Male,Female,0.5644,0.4356
199417.jpg,Female,Male,0.0078,0.9922
040131.jpg,Female,Male,0.0872,0.9128
102728.jpg,Female,Male,0.4698,0.5302
073611.jpg,Male,Female,0.5785,0.4215
014353.jpg,Male,Female,0.9946,0.0054
198447.jpg,Female,Male,0.0840,0.9160
042055.jpg,Male,Female,0.9154,0.0846
084731.jpg,Male,Female,0.9923,0.0077
041131.jpg,Male,Female,0.5021,0.4979
184465.jpg,Male,Female,0.5242,0.4758
085255.jpg,Female,Male,0.4221,0.5779
002697.jpg,Female,Male,0.3164,0.6836
089857.jpg,Female,Male,0.3806,0.6194
142287.jpg,Male,Female,0.9983,0.0017
009743.jpg,Male,Female,0.6240,0.3760
171114.jpg,Female,Male,0.4815,0.5185
116334.jpg,Male,Female,0.6003,0.3997
142623.jpg,Male,Female,0.8296,0.1704
094052.jpg,Female,Male,0.1977,0.8023
175782.jpg,Female,Male,0.4602,0.5398
033669.jpg,Male,Female,0.9000,0.1000
177885.jpg,Male,Female,0.9270,0.0730
070286.jpg,Male,Female,0.6551,0.3449
015128.jpg,Female,Male,0.4109,0.5891
000782.jpg,Female,Male,0.3646,0.6354
092593.jpg,Male,Female,0.7722,0.2278
057192.jpg,Male,Female,0.5872,0.4128
121646.jpg,Male,Female,0.9990,0.0010
130026.jpg,Male,Female,0.9661,0.0339
068689.jpg,Male,Female,0.6055,0.3945
121055.jpg,Male,Female,0.8490,0.1510
122510.jpg,Female,Male,0.4752,0.5248
127319.jpg,Female,Male,0.3431,0.6569
089143.jpg,Male,Female,0.7347,0.2653
122241.jpg,Female,Male,0.0189,0.9811
126301.jpg,Male,Female,0.5696,0.4304
021031.jpg,Male,Female,0.8381,0.1619
025445.jpg,Male,Female,0.8292,0.1708
138742.jpg,Female,Male,0.4008,0.5992
130890.jpg,Male,Female,0.9804,0.0196
073859.jpg,Female,Male,0.0123,0.9877
018180.jpg,Male,Female,0.9909,0.0091
169317.jpg,Male,Female,0.5423,0.4577
153355.jpg,Female,Male,0.4470,0.5530
111527.jpg,Male,Female,0.9894,0.0106
202031.jpg,Male,Female,0.7863,0.2137
085340.jpg,Male,Female,0.8020,0.1980
151138.jpg,Female,Male,0.2516,0.7484
027228.jpg,Male,Female,0.9693,0.0307
012026.jpg,Female,Male,0.3035,0.6965
126988.jpg,Female,Male,0.0296,0.9704
162030.jpg,Male,Female,0.6181,0.3819
133587.jpg,Male,Female,0.6245,0.3755
146277.jpg,Male,Female,0.9754,0.0246
124442.jpg,Male,Female,0.8800,0.1200
143947.jpg,Male,Female,0.6652,0.3348
016862.jpg,Female,Male,0.1055,0.8945
081966.jpg,Female,Male,0.1117,0.8883
189189.jpg,Male,Female,0.9992,0.0008
076026.jpg,Male,Female,0.8717,0.1283
197727.jpg,Male,Female,0.8462,0.1538
080488.jpg,Male,Female,0.6488,0.3512
120047.jpg,Male,Female,0.9139,0.0861
197234.jpg,Male,Female,0.5544,0.4456
081126.jpg,Male,Female,0.5145,0.4855
165392.jpg,Male,Female,0.9987,0.0013
031524.jpg,Female,Male,0.2848,0.7152
132347.jpg,Male,Female,0.5763,0.4237
026878.jpg,Female,Male,0.3103,0.6897
084015.jpg,Male,Female,0.8565,0.1435
034849.jpg,Female,Male,0.0119,0.9881
165890.jpg,Female,Male,0.4533,0.5467
158392.jpg,Female,Male,0.3089,0.6911
134230.jpg,Male,Female,0.7897,0.2103
016697.jpg,Male,Female,0.5325,0.4675
150128.jpg,Male,Female,0.7407,0.2593
130367.jpg,Male,Female,0.8553,0.1447
047648.jpg,Female,Male,0.4177,0.5823
157504.jpg,Female,Male,0.3136,0.6864
171714.jpg,Female,Male,0.4501,0.5499
184920.jpg,Female,Male,0.0063,0.9937
127463.jpg,Male,Female,0.5374,0.4626
107884.jpg,Female,Male,0.3621,0.6379
144654.jpg,Female,Male,0.1538,0.8462
096061.jpg,Female,Male,0.1475,0.8525
164552.jpg,Male,Female,0.7718,0.2282
055423.jpg,Male,Female,0.9880,0.0120
065735.jpg,Male,Female,0.6147,0.3853
085219.jpg,Female,Male,0.1393,0.8607
103971.jpg,Male,Female,0.5079,0.4921
066832.jpg,Male,Female,0.7064,0.2936
021074.jpg,Female,Male,0.3276,0.6724
162428.jpg,Female,Male,0.2523,0.7477
008434.jpg,Male,Female,0.9043,0.0957
090000.jpg,Male,Female,0.6235,0.3765
184968.jpg,Male,Female,0.9007,0.0993
025326.jpg,Female,Male,0.1595,0.8405
085602.jpg,Male,Female,0.8624,0.1376
063556.jpg,Male,Female,0.7967,0.2033
110289.jpg,Male,Female,0.9082,0.0918
126764.jpg,Male,Female,0.7028,0.2972
054989.jpg,Female,Male,0.3660,0.6340
061116.jpg,Female,Male,0.1030,0.8970
185687.jpg,Male,Female,0.5956,0.4044
010760.jpg,Male,Female,0.7628,0.2372
126610.jpg,Male,Female,0.8454,0.1546
099261.jpg,Female,Male,0.3902,0.6098
072144.jpg,Female,Male,0.1432,0.8568
047193.jpg,Female,Male,0.3255,0.6745
123150.jpg,Male,Female,0.9880,0.0120
183026.jpg,Female,Male,0.4966,0.5034
070335.jpg,Male,Female,0.8037,0.1963
187428.jpg,Male,Female,0.7390,0.2610
048407.jpg,Male,Female,0.8781,0.1219
100335.jpg,Male,Female,0.6743,0.3257
148471.jpg,Male,Female,0.9460,0.0540
145041.jpg,Female,Male,0.4989,0.5011
019850.jpg,Female,Male,0.3149,0.6851
034208.jpg,Female,Male,0.3394,0.6606
078038.jpg,Male,Female,0.9372,0.0628
088090.jpg,Male,Female,0.6059,0.3941
141763.jpg,Male,Female,0.7471,0.2529
092517.jpg,Female,Male,0.1366,0.8634
092176.jpg,Male,Female,0.8954,0.1046
196186.jpg,Male,Female,0.8489,0.1511
102609.jpg,Female,Male,0.1203,0.8797
202081.jpg,Female,Male,0.4202,0.5798
111554.jpg,Male,Female,0.9929,0.0071
030092.jpg,Male,Female,0.8451,0.1549
157594.jpg,Male,Female,0.6110,0.3890
182539.jpg,Male,Female,0.9760,0.0240
065887.jpg,Male,Female,0.5427,0.4573
054793.jpg,Male,Female,0.6221,0.3779
001468.jpg,Male,Female,0.8401,0.1599
013854.jpg,Male,Female,0.7024,0.2976
119234.jpg,Male,Female,0.5387,0.4613
119470.jpg,Male,Female,0.6238,0.3762
002176.jpg,Male,Female,0.7417,0.2583
159483.jpg,Male,Female,0.5254,0.4746
158889.jpg,Male,Female,0.6997,0.3003
086573.jpg,Male,Female,0.8016,0.1984
118291.jpg,Male,Female,0.6992,0.3008
000771.jpg,Male,Female,0.9843,0.0157
067878.jpg,Male,Female,0.7035,0.2965
167378.jpg,Male,Female,0.6705,0.3295
012771.jpg,Male,Female,0.6097,0.3903
021492.jpg,Male,Female,0.5345,0.4655
157172.jpg,Female,Male,0.4305,0.5695
074629.jpg,Male,Female,0.8069,0.1931
048115.jpg,Male,Female,0.9882,0.0118
198822.jpg,Male,Female,0.9742,0.0258
050597.jpg,Female,Male,0.1024,0.8976
158187.jpg,Female,Male,0.3223,0.6777
119286.jpg,Male,Female,0.6508,0.3492
127426.jpg,Male,Female,0.9978,0.0022
090745.jpg,Male,Female,0.5968,0.4032
028110.jpg,Female,Male,0.3932,0.6068
095533.jpg,Male,Female,0.9583,0.0417
020956.jpg,Female,Male,0.3554,0.6446
076606.jpg,Female,Male,0.3578,0.6422
003049.jpg,Male,Female,0.8286,0.1714
163995.jpg,Female,Male,0.0917,0.9083
132722.jpg,Male,Female,0.9538,0.0462
031304.jpg,Female,Male,0.0678,0.9322
157495.jpg,Male,Female,0.5101,0.4899
200685.jpg,Male,Female,0.6028,0.3972
117364.jpg,Male,Female,0.5195,0.4805
070810.jpg,Male,Female,0.6915,0.3085
163147.jpg,Male,Female,0.7754,0.2246
154250.jpg,Female,Male,0.0234,0.9766
153331.jpg,Female,Male,0.0076,0.9924
157917.jpg,Female,Male,0.1399,0.8601
107792.jpg,Male,Female,0.7541,0.2459
049667.jpg,Male,Female,0.8774,0.1226
067833.jpg,Male,Female,0.9872,0.0128
191399.jpg,Male,Female,0.5078,0.4922
145714.jpg,Male,Female,0.8372,0.1628
039018.jpg,Male,Female,0.5544,0.4456
184510.jpg,Male,Female,0.7668,0.2332
111017.jpg,Male,Female,0.7345,0.2655
150625.jpg,Female,Male,0.0171,0.9829
108328.jpg,Male,Female,0.9681,0.0319
161266.jpg,Male,Female,0.6963,0.3037
072242.jpg,Male,Female,0.6972,0.3028
171838.jpg,Male,Female,0.9559,0.0441
021338.jpg,Male,Female,0.8486,0.1514
153993.jpg,Female,Male,0.0319,0.9681
197190.jpg,Female,Male,0.0236,0.9764
045231.jpg,Male,Female,0.9577,0.0423
082598.jpg,Female,Male,0.2050,0.7950
092813.jpg,Male,Female,0.6008,0.3992
129971.jpg,Female,Male,0.3961,0.6039
151005.jpg,Male,Female,0.9962,0.0038
025369.jpg,Male,Female,0.6524,0.3476
125296.jpg,Male,Female,0.9969,0.0031
111862.jpg,Male,Female,0.9966,0.0034
104225.jpg,Male,Female,0.9383,0.0617
158043.jpg,Female,Male,0.4588,0.5412
118186.jpg,Male,Female,0.8059,0.1941
163216.jpg,Male,Female,0.9696,0.0304
106374.jpg,Male,Female,0.7523,0.2477
074244.jpg,Female,Male,0.0019,0.9981
171597.jpg,Male,Female,0.5927,0.4073
128866.jpg,Female,Male,0.3050,0.6950
085885.jpg,Male,Female,0.5753,0.4247
054220.jpg,Female,Male,0.0178,0.9822
181662.jpg,Female,Male,0.0398,0.9602
175235.jpg,Male,Female,0.9774,0.0226
183171.jpg,Male,Female,0.9612,0.0388
148816.jpg,Male,Female,0.5674,0.4326
073091.jpg,Male,Female,0.9404,0.0596
199984.jpg,Female,Male,0.3232,0.6768
190489.jpg,Male,Female,0.6552,0.3448
164965.jpg,Male,Female,0.9340,0.0660
189536.jpg,Male,Female,0.8970,0.1030
080692.jpg,Female,Male,0.1119,0.8881
086998.jpg,Female,Male,0.2524,0.7476
120982.jpg,Male,Female,0.9154,0.0846
199507.jpg,Male,Female,0.9388,0.0612
197741.jpg,Male,Female,0.9796,0.0204
082424.jpg,Female,Male,0.3240,0.6760
049831.jpg,Female,Male,0.3205,0.6795
045502.jpg,Female,Male,0.0382,0.9618
184597.jpg,Male,Female,0.9080,0.0920
018747.jpg,Male,Female,0.5349,0.4651
183841.jpg,Male,Female,0.9932,0.0068
153799.jpg,Male,Female,0.5756,0.4244
073981.jpg,Male,Female,0.8620,0.1380
021195.jpg,Male,Female,0.8618,0.1382
071223.jpg,Female,Male,0.0037,0.9963
150829.jpg,Male,Female,0.9974,0.0026
146819.jpg,Male,Female,0.9863,0.0137
079577.jpg,Female,Male,0.3362,0.6638
171834.jpg,Male,Female,0.7519,0.2481
063215.jpg,Male,Female,0.9510,0.0490
161861.jpg,Male,Female,0.8103,0.1897
035559.jpg,Male,Female,0.9340,0.0660
091363.jpg,Female,Male,0.4826,0.5174
080295.jpg,Male,Female,0.5861,0.4139
042125.jpg,Female,Male,0.4608,0.5392
107778.jpg,Female,Male,0.3406,0.6594
024028.jpg,Male,Female,0.7636,0.2364
168469.jpg,Male,Female,0.8357,0.1643
082766.jpg,Male,Female,0.8696,0.1304
159256.jpg,Male,Female,0.5555,0.4445
182872.jpg,Male,Female,0.8750,0.1250
133924.jpg,Male,Female,0.7948,0.2052
103511.jpg,Male,Female,0.6618,0.3382
